old,url,name,awsurl
|  bluefield_college-04.jpg                                |,https://sandbox.markofthelam.com/titleIX/bluefield_college-04.jpg,BLUEFIELD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bluefield_college-04.jpg
|  bluefield_college-05.jpg                                |,https://sandbox.markofthelam.com/titleIX/bluefield_college-05.jpg,BLUEFIELD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bluefield_college-05.jpg
|  boston_college-01.jpg                                   |,https://sandbox.markofthelam.com/titleIX/boston_college-01.jpg,BOSTON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/boston_college-01.jpg
|  boston_college-02.jpg                                   |,https://sandbox.markofthelam.com/titleIX/boston_college-02.jpg,BOSTON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/boston_college-02.jpg
|  boston_college-03.jpg                                   |,https://sandbox.markofthelam.com/titleIX/boston_college-03.jpg,BOSTON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/boston_college-03.jpg
|  boston_college-04.jpg                                   |,https://sandbox.markofthelam.com/titleIX/boston_college-04.jpg,BOSTON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/boston_college-04.jpg
|  boston_college-05.jpg                                   |,https://sandbox.markofthelam.com/titleIX/boston_college-05.jpg,BOSTON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/boston_college-05.jpg
|  boston_university-01.jpg                                |,https://sandbox.markofthelam.com/titleIX/boston_university-01.jpg,BOSTON UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/boston_university-01.jpg
|  boston_university-02.jpg                                |,https://sandbox.markofthelam.com/titleIX/boston_university-02.jpg,BOSTON UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/boston_university-02.jpg
|  boston_university-03.jpg                                |,https://sandbox.markofthelam.com/titleIX/boston_university-03.jpg,BOSTON UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/boston_university-03.jpg
|  boston_university-04.jpg                                |,https://sandbox.markofthelam.com/titleIX/boston_university-04.jpg,BOSTON UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/boston_university-04.jpg
|  boston_university-05.jpg                                |,https://sandbox.markofthelam.com/titleIX/boston_university-05.jpg,BOSTON UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/boston_university-05.jpg
|  bowie_state_university-01.jpg                           |,https://sandbox.markofthelam.com/titleIX/bowie_state_university-01.jpg,BOWIE STATE UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/bowie_state_university-01.jpg
|  bowie_state_university-02.jpg                           |,https://sandbox.markofthelam.com/titleIX/bowie_state_university-02.jpg,BOWIE STATE UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/bowie_state_university-02.jpg
|  bowie_state_university-03.jpg                           |,https://sandbox.markofthelam.com/titleIX/bowie_state_university-03.jpg,BOWIE STATE UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/bowie_state_university-03.jpg
|  bowie_state_university-04.jpg                           |,https://sandbox.markofthelam.com/titleIX/bowie_state_university-04.jpg,BOWIE STATE UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/bowie_state_university-04.jpg
